News Organization,Tweet Text,Positive Sentiment,Negative Sentiment,Neutral Sentiment,Compound Sentiment,Time of Tweet
CBS,"RT @fifthpoesys: QUE PERFORMANCE MARAVILHOSA
#GRAMMYs",0.0,0.0,1.0,0.0,2018-01-29 02:40:57+00:00
CBS,RT @naptural_mae: I have so much admiration for Kesha #GRAMMYs,0.321,0.0,0.679,0.5829,2018-01-29 02:40:59+00:00
CBS,RT @KathyLynn904: That’s was absolutely beautiful and powerful thank you @KeshaRose and all the ladies who joined her unbelievable #GRAMMYS,0.419,0.0,0.581,0.8899,2018-01-29 02:45:57+00:00
CBS,RT if you're crying like @HaileeSteinfeld after that moving @KeshaRose + @cyndilauper + @Camila_Cabello +… https://t.co/9qnQrhpiXy,0.142,0.176,0.682,-0.1531,2018-01-29 02:49:24+00:00
CBS,That's what we like! @BrunoMars wins the #GRAMMY for Song of the Year. See all of The 60th Annual #GRAMMYs winners… https://t.co/op6rSMuOzv,0.245,0.0,0.755,0.7574,2018-01-29 03:02:43+00:00
CBS,RT @BlueBloods_CBS: Lookin' good @DonnieWahlberg 🤠 #GRAMMYs https://t.co/7FftMSU7Do,0.326,0.0,0.674,0.4404,2018-01-29 03:04:50+00:00
CBS,RT @FunnyManShaun: Elton John with the Liberace swag #GRAMMYs,0.0,0.0,1.0,0.0,2018-01-29 03:06:26+00:00
CBS,"RT @nictothemarie: wow
wow
wow
wow
wow
wow
wow
wow
@eltonjohn @mileycyrus
having a heart EXPLOSION
#grammys",0.792,0.0,0.208,0.9854,2018-01-29 03:06:30+00:00
CBS,Generations of icons come together on the #GRAMMY stage. See all of the performances from The 60th Annual #GRAMMYs… https://t.co/amGC0Lu4Di,0.0,0.0,1.0,0.0,2018-01-29 03:12:26+00:00
CBS,The #GRAMMYs is a family affair...or is it? https://t.co/ohPdzp8jIZ,0.0,0.0,1.0,0.0,2018-01-29 03:20:49+00:00
CBS,"Blue Ivy doesn't wanna miss a minute of the action. 🤫 

Watch The #GRAMMYs now on CBS and CBS All Access:… https://t.co/26zRlvLKgl",0.071,0.0,0.929,0.1139,2018-01-29 03:24:02+00:00
CBS,RT @AnnaKendrick47: Punish me with those vocals @BenSPLATT 😵 #GRAMMYs,0.0,0.298,0.702,-0.5267,2018-01-29 03:25:26+00:00
CBS,💃💃💃 https://t.co/VZB0QEbajw,0.0,0.0,1.0,0.0,2018-01-29 03:25:53+00:00
CBS,"RT @Jordan_Roth: And THAT is how it’s done, kids. #Patti #GRAMMYs",0.0,0.0,1.0,0.0,2018-01-29 03:27:04+00:00
CBS,CBS Stars @shemarmoore from @swatcbs and @TheRealEve from @TheTalkCBS charming the crowd at The 60th Annual #GRAMMYs https://t.co/HLnRBE2rFW,0.183,0.0,0.817,0.5859,2018-01-29 03:34:36+00:00
CBS,"Slay all day, @sza! #GRAMMYs https://t.co/h1oCVMZE55",0.0,0.0,1.0,0.0,2018-01-29 03:37:27+00:00
CBS,RT @CBSTweet: Cute family alert! @pink 💕 #GRAMMYs https://t.co/isveVC8aoJ,0.478,0.0,0.522,0.6696,2018-01-29 03:37:35+00:00
CBS,24K Magic is in the air at the 60th Annual #GRAMMYs! @BrunoMars wins Record Of The Year! See all of the winners her… https://t.co/jGaqsvQt7W,0.251,0.0,0.749,0.8118,2018-01-29 03:45:43+00:00
CBS,What was your favorite #GRAMMY moment from tonight? https://t.co/x3q4ZhltV9,0.273,0.0,0.727,0.4588,2018-01-29 03:46:27+00:00
CBS,RT @pawprintedzoe: Music is a beautiful thing #Grammys,0.394,0.0,0.606,0.5994,2018-01-29 03:49:19+00:00
CBS,"RT @TheSaraNoH: Thank you @RecordingAcad for helping to keep music in schools! 

#GRAMMYs",0.312,0.0,0.688,0.6114,2018-01-29 03:50:25+00:00
CBS,You don't want to miss a moment of The #GRAMMYs. Watch now on CBS and CBS All Access: https://t.co/rtZ7sSGFOC https://t.co/oVvgF0CNLr,0.073,0.062,0.864,0.0572,2018-01-29 03:53:06+00:00
CBS,"RT @CBSNews: .@HillaryClinton makes an appearance at #Grammys during a reading of ""Fire and Fury."" The book details President Trump's first…",0.0,0.112,0.888,-0.34,2018-01-29 03:55:20+00:00
CBS,"RT @CBSNews: ""My father, if you are watching this dad, I love you. Look at me, pop, look at me, I'm at the #Grammys right now!"" @BrunoMars…",0.152,0.0,0.848,0.6696,2018-01-29 03:55:24+00:00
CBS,That. Performance. Wow. #GRAMMYs https://t.co/rDg37rzQvn,0.487,0.0,0.513,0.5859,2018-01-29 03:58:49+00:00
CBS,Drippin' in finesse 🙌 @BrunoMars wins Album Of The Year at The #GRAMMYs! See all of the winners here:… https://t.co/BK4bF9ggSI,0.294,0.0,0.706,0.7959,2018-01-29 04:10:47+00:00
CBS,"It was real y'all. Congratulations to everyone who won and all who were nominated. Finally, thank you to everyone w… https://t.co/jqBkGTtEyM",0.359,0.0,0.641,0.8779,2018-01-29 04:12:46+00:00
CBS,We caught up with @imjmichaels on the #GRAMMYs red carpet and learned all about how @IBM is using Watson and AI to… https://t.co/sJpn44xPnV,0.0,0.0,1.0,0.0,2018-01-29 04:19:55+00:00
CBS,"Relive @LuisFonsi, @daddy_yankee, and @zuleyka_rivera's electric performance of 'Despacito' that lit up the… https://t.co/9m1mytX9VW",0.0,0.0,1.0,0.0,2018-01-29 05:34:44+00:00
CBS,See @U2's intense #GRAMMYs performance in front of the majestic Statue of Liberty: https://t.co/Y1ZhzDYPdt https://t.co/SOf9kpMHOq,0.266,0.0,0.734,0.5719,2018-01-29 06:15:02+00:00
CBS,"See @littlebigtown belt out a heartfelt version of their hit song 'Better Man,' written by @taylorswift13:… https://t.co/mQJZ4lIOtZ",0.314,0.0,0.686,0.7506,2018-01-29 07:01:01+00:00
CBS,Get ready to sing along as @eltonofficial and @MileyCyrus deliver an unforgettable rendition of the iconic song 'Ti… https://t.co/upVo9SZUCh,0.122,0.0,0.878,0.3612,2018-01-29 07:25:04+00:00
CBS,See who won big on Music's Biggest Night®️: https://t.co/yyb8bwMqEx #GRAMMYs https://t.co/OgV3UcK3jw,0.27,0.0,0.73,0.5719,2018-01-29 07:40:26+00:00
CBS,The stage was packed with star power from start to finish on Music's Biggest Night®! Catch up on all the live perfo… https://t.co/Mzqp82FiUS,0.0,0.0,1.0,0.0,2018-01-29 08:18:18+00:00
CBS,Music's biggest stars came together for a night of celebration and song at the The 60th Annual #GRAMMYs! Stream the… https://t.co/flFIflTQ5s,0.0,0.0,1.0,0.0,2018-01-29 12:00:03+00:00
CBS,"With his powerful single 'Pray,"" @samsmithworld captivated the #GRAMMYs crowd. Watch the full performance:… https://t.co/159qGVFyxW",0.293,0.0,0.707,0.6597,2018-01-29 13:00:01+00:00
CBS,Watch @BrunoMars and @iamcardib pull out all the stops at the #GRAMMYs for their fun and funky duet of 'Finesse.'… https://t.co/z1ZTosotw9,0.136,0.123,0.741,0.3182,2018-01-29 14:00:02+00:00
CBS,"The #GRAMMYs were full of emotional performances, stirring speeches, and jaw-dropping fashion. See all the red carp… https://t.co/yqpOW9tWm3",0.086,0.0,0.914,0.1531,2018-01-29 15:00:03+00:00
CBS,"Relive epic GRAMMY rock performances from @Metallica, @beck, @coldplay and more on @AppleMusic. Start your free tri… https://t.co/xmkaZGjlMM",0.163,0.0,0.837,0.5106,2018-01-29 16:00:05+00:00
CBS,✨@LadyGaga's stripped-down performance soared on the #GRAMMYs stage. See all the night's performances here:… https://t.co/Dw6xSzeeGC,0.0,0.0,1.0,0.0,2018-01-29 17:15:04+00:00
CBS,When your win at The #GRAMMYs feels like 24K Magic! Congratulations to @BrunoMars for taking home six awards this y… https://t.co/UhWCE8OKfK,0.442,0.0,0.558,0.9259,2018-01-29 18:00:02+00:00
CBS,🎶@BrunoMars worked his 24K Magic to become the night's biggest winner. See his #GRAMMYs acceptance speech for Album… https://t.co/dXzjWH0myx,0.286,0.0,0.714,0.7783,2018-01-29 19:00:05+00:00
CBS,The dapper duo of @itstonybennett and @johnlegend brought down the #GRAMMYs house with an impromptu duet.… https://t.co/ucRrAFk59f,0.0,0.0,1.0,0.0,2018-01-29 20:00:04+00:00
CBS,Check out these photos of the night's best backstage moments you didn't see on TV! Here's what you missed at The 60… https://t.co/6TBI8NV8JJ,0.162,0.079,0.758,0.5093,2018-01-29 22:10:15+00:00
CBS,Superstar @Pink left it all on the stage last night in a simply stunning performance that brought the crowd to thei… https://t.co/B9Tj5INcNu,0.115,0.0,0.885,0.3818,2018-01-29 22:45:21+00:00
CBS,.@OfficialSting and @shaggy757 joined together to bring their upbeat reggae vibes to Madison Square Garden. Watch t… https://t.co/iqq0DbM1IR,0.0,0.0,1.0,0.0,2018-01-30 00:11:05+00:00
CBS,Childish Gambino serenaded the crowd with his smooth vocals in this mesmerizing performance. Watch him perform 'Ter… https://t.co/TkWZP7PS22,0.0,0.115,0.885,-0.296,2018-01-30 01:29:06+00:00
CBS,Even our host @JKCorden was starstruck when Broadway icon Patti LuPone performed at The #GRAMMYs! https://t.co/YJhNBllFh6,0.0,0.0,1.0,0.0,2018-01-30 02:12:15+00:00
CBS,Rapper @Logic301 delivered a poignant message of hope to conclude his powerful performance with @alessiacara and… https://t.co/elSqZExRtN,0.289,0.0,0.711,0.6908,2018-01-30 03:17:51+00:00
CBS,"Tomorrow, catch a sneak peek of the incredible @TiffanyHaddish in her first Super Bowl Commercial for @Groupon on… https://t.co/RlehujNvFN",0.187,0.0,0.813,0.5994,2018-01-30 04:03:31+00:00
CBS,Remember when @robinthicke and Lil Wayne (@liltunechi) joined jazz legends on stage at the 51st #GRAMMYs? Watch thi… https://t.co/2l8gBdOrli,0.0,0.0,1.0,0.0,2018-01-30 16:00:02+00:00
CBS,"Super Bowl Greatest Commercials 2018 airs tonight! Cast your vote now, then tune in and vote for the winner live at… https://t.co/h4jGpUheP5",0.391,0.0,0.609,0.9215,2018-01-30 18:46:04+00:00
CBS,Throw it back to this classic Michael Jordan vs. Larry Bird spot tonight on Super Bowl Greatest Commercials 2018! W… https://t.co/g2H4zV7wIN,0.306,0.0,0.694,0.8553,2018-01-30 21:19:22+00:00
CBS,Everyone knows the best part of the Super Bowl is the commercials! Find out how to tune in and vote for your favori… https://t.co/KGDYl9oF98,0.276,0.0,0.724,0.8553,2018-01-30 23:35:01+00:00
CBS,"Join @NCISLA's @DanielaRuah and @7BOOMERESIASON on Super Bowl Greatest Commercials 2018, tonight at 8/7c on CBS and… https://t.co/nzVu1FCRc5",0.407,0.0,0.593,0.8834,2018-01-31 00:11:53+00:00
CBS,"Tonight, get a first look at #ChrisElliott starring in the new @AvosfromMexico Super Bowl Commercial on… https://t.co/WMEjsZfgdg",0.206,0.0,0.794,0.5994,2018-01-31 00:37:20+00:00
CBS,It's Man vs. Beast as these classic Super Bowl spots face off tonight on Super Bowl Greatest Commercials 2018! Tune… https://t.co/GcoSAcfeUd,0.406,0.0,0.594,0.923,2018-01-31 00:55:04+00:00
CBS,Super Bowl Greatest Commercials 2018 hosts @7BOOMERESIASON and @DanielaRuah are moments away from announcing the tw… https://t.co/cKM1WXPc9u,0.351,0.0,0.649,0.8442,2018-01-31 01:00:35+00:00
CBS,RT @Mixxxalv: Watching #superbowlcommercials let the best win!,0.58,0.0,0.42,0.8516,2018-01-31 01:04:34+00:00
CBS,RT @dRoy: Homework will take a break for now. #superbowlcommercials on cbs is on 👌,0.0,0.0,1.0,0.0,2018-01-31 01:08:01+00:00
CBS,RT @dRoy: Homework will take a break for now. #superbowlcommercials on cbs is on 👌,0.0,0.0,1.0,0.0,2018-01-31 01:08:01+00:00
CBS,Do you remember this Super Bowl commercial featuring @KevinHart4real playing an overprotective father?… https://t.co/ejLnTEG5ug,0.349,0.0,0.651,0.7525,2018-01-31 01:16:15+00:00
CBS,Do you remember this Super Bowl commercial featuring @KevinHart4real playing an overprotective father?… https://t.co/ejLnTEG5ug,0.349,0.0,0.651,0.7525,2018-01-31 01:16:15+00:00
CBS,RT @MsLindsieStarr: That dang goat! #Doritos #superbowlcommercials,0.0,0.0,1.0,0.0,2018-01-31 01:17:37+00:00
CBS,RT @MsLindsieStarr: That dang goat! #Doritos #superbowlcommercials,0.0,0.0,1.0,0.0,2018-01-31 01:17:37+00:00
CBS,Never make a goat angry. #SuperBowlCommercials https://t.co/xRJssdAErk,0.0,0.398,0.602,-0.5106,2018-01-31 01:18:37+00:00
CBS,Never make a goat angry. #SuperBowlCommercials https://t.co/xRJssdAErk,0.0,0.398,0.602,-0.5106,2018-01-31 01:18:37+00:00
CBS,RT @PatHale915: Doritos time machine was great!   #superbowlcommercials,0.386,0.0,0.614,0.6588,2018-01-31 01:24:16+00:00
CBS,RT @PatHale915: Doritos time machine was great!   #superbowlcommercials,0.386,0.0,0.614,0.6588,2018-01-31 01:24:16+00:00
CBS,RT @LittleShelbyMae: Love watching the #superbowlcommercials all the animal ones are my favorite!!,0.414,0.0,0.586,0.8309,2018-01-31 01:29:10+00:00
CBS,RT @LittleShelbyMae: Love watching the #superbowlcommercials all the animal ones are my favorite!!,0.414,0.0,0.586,0.8309,2018-01-31 01:29:10+00:00
CBS,RT @5691e44f3b66446: I am having so much fun ...the commercials are awesome #superbowlcommercials,0.434,0.0,0.566,0.8261,2018-01-31 01:31:27+00:00
CBS,RT @5691e44f3b66446: I am having so much fun ...the commercials are awesome #superbowlcommercials,0.434,0.0,0.566,0.8261,2018-01-31 01:31:27+00:00
CBS,"If you haven't voted yet, it's not too late! Choose your favorite here: https://t.co/s4pEIF5IX8… https://t.co/VCa1YHDyYy",0.19,0.0,0.81,0.5093,2018-01-31 01:49:43+00:00
CBS,"If you haven't voted yet, it's not too late! Choose your favorite here: https://t.co/s4pEIF5IX8… https://t.co/VCa1YHDyYy",0.19,0.0,0.81,0.5093,2018-01-31 01:49:43+00:00
CBS,"RT @maverickkr: #superbowlcommercials the frogs were great, I'd forgotten about that one.",0.256,0.119,0.625,0.4939,2018-01-31 01:52:46+00:00
CBS,"RT @maverickkr: #superbowlcommercials the frogs were great, I'd forgotten about that one.",0.256,0.119,0.625,0.4939,2018-01-31 01:52:46+00:00
CBS,"If this doesn’t make you cry, nothing will. #SuperBowlCommercials https://t.co/UjFf3xr4so",0.0,0.256,0.744,-0.4767,2018-01-31 01:58:40+00:00
CBS,"If this doesn’t make you cry, nothing will. #SuperBowlCommercials https://t.co/UjFf3xr4so",0.0,0.256,0.744,-0.4767,2018-01-31 01:58:40+00:00
CBS,"RT @rikimae: Ok, that one makes me cry #superbowlcommercials",0.179,0.252,0.569,-0.2263,2018-01-31 02:15:16+00:00
CBS,"RT @rikimae: Ok, that one makes me cry #superbowlcommercials",0.179,0.252,0.569,-0.2263,2018-01-31 02:15:16+00:00
CBS,Missed the Man vs. Beast #SuperBowlCommercials showdown? Catch up now to find out which entertaining ad was named t… https://t.co/SlyO0n7yMX,0.126,0.095,0.779,0.1779,2018-01-31 06:55:30+00:00
CBS,Missed the Man vs. Beast #SuperBowlCommercials showdown? Catch up now to find out which entertaining ad was named t… https://t.co/SlyO0n7yMX,0.126,0.095,0.779,0.1779,2018-01-31 06:55:30+00:00
CBS,"Country stars @EricChurch, @BrothersOsborne and @MarenMorris performed a touching tribute dedicated to the victims… https://t.co/YCIq9i70fd",0.188,0.0,0.812,0.4588,2018-01-31 16:37:17+00:00
CBS,"Country stars @EricChurch, @BrothersOsborne and @MarenMorris performed a touching tribute dedicated to the victims… https://t.co/YCIq9i70fd",0.188,0.0,0.812,0.4588,2018-01-31 16:37:17+00:00
CBS,RT @survivorcbs: Get excited! 🙌 It’s finally time to meet the castaways of #Survivor: Ghost Island ☠ https://t.co/xQQ8ROhKbM https://t.co/P…,0.135,0.115,0.75,0.1007,2018-01-31 17:05:47+00:00
CBS,RT @survivorcbs: Get excited! 🙌 It’s finally time to meet the castaways of #Survivor: Ghost Island ☠ https://t.co/xQQ8ROhKbM https://t.co/P…,0.135,0.115,0.75,0.1007,2018-01-31 17:05:47+00:00
CBS,"Don't miss country stars Emmylou Harris and @ChrisStapleton perform a moving rendition of @TomPetty's classic song,… https://t.co/GxoIW97XIu",0.088,0.0,0.912,0.1139,2018-01-31 21:42:15+00:00
CBS,"Don't miss country stars Emmylou Harris and @ChrisStapleton perform a moving rendition of @TomPetty's classic song,… https://t.co/GxoIW97XIu",0.088,0.0,0.912,0.1139,2018-01-31 21:42:15+00:00
BBCWorld,Flooded Paris street delights wakeboarders https://t.co/dTPIVgXdB8,0.375,0.0,0.625,0.4588,2018-02-01 17:17:54+00:00
BBCWorld,South Africa gold mine: About 950 workers trapped underground https://t.co/KdQBdIiqmt,0.0,0.274,0.726,-0.5267,2018-02-01 17:45:14+00:00
BBCWorld,French climber Elisabeth Revol describes Pakistan's 'Killer Mountain' ordeal https://t.co/1gHp4ZZPIi,0.0,0.323,0.677,-0.6486,2018-02-01 17:54:49+00:00
BBCWorld,White House 'to release' secret memo on FBI https://t.co/r7pdlCpBlS,0.0,0.0,1.0,0.0,2018-02-01 17:54:49+00:00
BBCWorld,World's longest zip wire opens in the UAE https://t.co/cLqQPq8EtP,0.0,0.0,1.0,0.0,2018-02-01 18:08:30+00:00
BBCWorld,Texas man to be executed for killing his two daughters https://t.co/z2GGAqvoE1,0.0,0.306,0.694,-0.6597,2018-02-01 19:26:44+00:00
BBCWorld,Hong Kong pro-democracy activists nominated for Nobel Peace Prize https://t.co/zeU7VxK8v0,0.459,0.0,0.541,0.7783,2018-02-01 19:30:45+00:00
BBCWorld,"Doctor shares some positive, inspiring thoughts of the terminally ill children in his care https://t.co/6EVn5Pa7Up",0.48,0.114,0.407,0.8402,2018-02-01 19:45:03+00:00
BBCWorld,RT @BBCNorthAmerica: Former White House Press Secretary @seanspicer on handling President Trump: “Working with President Trump is not like…,0.0,0.0,1.0,0.0,2018-02-01 20:00:55+00:00
CBS,"🎸 @LittleBigTown, @U2, @BrunoMars and @Pink are just a few of the superstar performers that lit up the stage at The… https://t.co/2v0MNYMItG",0.0,0.0,1.0,0.0,2018-02-01 20:09:49+00:00
CBS,"🎸 @LittleBigTown, @U2, @BrunoMars and @Pink are just a few of the superstar performers that lit up the stage at The… https://t.co/2v0MNYMItG",0.0,0.0,1.0,0.0,2018-02-01 20:09:49+00:00
BBCWorld,RT @danroan: Winter Olympics 2018 turmoil: CAS Russia ruling exposes “craven and spineless” sports leaders blasts “appalled and angry” IOC…,0.0,0.182,0.818,-0.4588,2018-02-01 20:44:26+00:00
BBCWorld,"Two shot after girl, 12, opens fire at Los Angeles school https://t.co/7BwJs8ZgHw",0.0,0.179,0.821,-0.34,2018-02-01 21:27:20+00:00
BBCWorld,Zimbabwe opposition leader 'attacked' on campaign trail https://t.co/Gh7znSMQUS,0.0,0.0,1.0,0.0,2018-02-01 21:27:20+00:00
BBCWorld,Doctor shares dying children's wishes: 'Be kind and eat ice cream' https://t.co/ac8RXkCa3V,0.444,0.0,0.556,0.7351,2018-02-01 21:40:53+00:00
BBCWorld,Natalie Wood death: Police say Robert Wagner 'person of interest' https://t.co/iFxeVwOiHp,0.189,0.245,0.566,-0.2263,2018-02-01 21:53:32+00:00
BBCWorld,"RT @BBCNorthAmerica: The severed arm of St Francis Xavier, who died in 1552, is touring across Canada https://t.co/faGOdgZcli https://t.co/…",0.0,0.264,0.736,-0.7269,2018-02-01 22:00:44+00:00
CBS,🎶 @DearEvanHansen star Ben Platt gave a soaring performance of a classic Broadway hit. Watch him perform 'Somewhere… https://t.co/HcuizFWo02,0.0,0.0,1.0,0.0,2018-02-01 22:04:41+00:00
CBS,🎶 @DearEvanHansen star Ben Platt gave a soaring performance of a classic Broadway hit. Watch him perform 'Somewhere… https://t.co/HcuizFWo02,0.0,0.0,1.0,0.0,2018-02-01 22:04:41+00:00
BBCWorld,China police state: Fear and resentment https://t.co/srbmnLV9nu,0.0,0.55,0.45,-0.7269,2018-02-01 22:07:26+00:00
BBCWorld,Five migrants shot in huge Calais brawl https://t.co/bPr1afyoIU,0.247,0.0,0.753,0.3182,2018-02-01 22:07:26+00:00
BBCWorld,RT @bbcworldservice: How did an amateur astronomer from Canada find a @nasa satellite that's been missing since 2005? https://t.co/Z0vsitZz…,0.0,0.115,0.885,-0.296,2018-02-01 22:22:20+00:00
BBCWorld,Syria conflict: Air strike in Hama province cripples cave hospital https://t.co/x3nV3e5k7e,0.0,0.297,0.703,-0.4215,2018-02-01 22:23:32+00:00
BBCWorld,Maldives Supreme Court orders release of jailed politicians https://t.co/SreRW38Yb6,0.261,0.232,0.507,0.1027,2018-02-01 23:12:12+00:00
BBCWorld,Larry Nassar case: Michigan police apologise to victim https://t.co/8eReQgNGRE,0.222,0.179,0.598,0.128,2018-02-02 00:03:53+00:00
BBCWorld,Coping with life after a daughter's disappearance https://t.co/05FA1D5AFK,0.0,0.0,1.0,0.0,2018-02-02 00:33:51+00:00
BBCWorld,Two storied US cities ready for Super Bowl battle https://t.co/4ExqXGMYUK,0.4,0.163,0.438,0.5859,2018-02-02 00:42:55+00:00
BBCWorld,The rise and fall of Islamic State's propaganda machine https://t.co/17tRZbbmf5,0.0,0.182,0.818,-0.25,2018-02-02 00:42:55+00:00
BBCWorld,SLEEPCINEMAHOTEL: Where they want you to fall asleep https://t.co/7oVvrtTimK,0.14,0.0,0.86,0.0772,2018-02-02 00:56:16+00:00
BBCWorld,Sabrina Simader : Kenya's 'Snow Leopard' aiming for Olympic glory https://t.co/mDqCjX0Bic,0.28,0.0,0.72,0.5423,2018-02-02 01:09:11+00:00
BBCWorld,'I broke away from a strict homeschooling community cult' https://t.co/dUeMLTMqeD,0.0,0.259,0.741,-0.4215,2018-02-02 01:09:13+00:00
BBCWorld,The people who think mass shootings are staged https://t.co/taY4uDeT80,0.0,0.0,1.0,0.0,2018-02-02 01:18:01+00:00
BBCWorld,Beaumont children: Excavation in Australia over 1966 mystery https://t.co/e3cezDoTZ5,0.0,0.0,1.0,0.0,2018-02-02 01:30:20+00:00
BBCWorld,Cuba: Fidel Castro's son 'takes own life' https://t.co/5YHzoxlOJt,0.0,0.0,1.0,0.0,2018-02-02 01:56:17+00:00
BBCWorld,Slender Man stabbing: Morgan Geyser gets 40 years in mental unit https://t.co/02ZopbrWHT,0.0,0.0,1.0,0.0,2018-02-02 02:04:42+00:00
BBCWorld,Tillerson says Venezuelan military may turn on Maduro https://t.co/kXgQIESIlL,0.0,0.0,1.0,0.0,2018-02-02 03:40:52+00:00
BBCWorld,Shanghai van incident: 18 injured as vehicle hits pedestrians https://t.co/HiUGHWP709,0.0,0.231,0.769,-0.4019,2018-02-02 03:51:00+00:00
BBCWorld,Egypt election: Al-Sisi one of two remaining candidates https://t.co/tLNiZQYA55,0.0,0.0,1.0,0.0,2018-02-02 04:40:10+00:00
BBCWorld,South Africa gold mine: Rescue underway for 955 trapped workers https://t.co/w08G36HaAk,0.21,0.217,0.573,-0.0258,2018-02-02 04:47:54+00:00
BBCWorld,Australia gambling: Landmark 'pokies' lawsuit dismissed https://t.co/Rq9p8BjLiS,0.159,0.232,0.61,-0.1531,2018-02-02 05:03:39+00:00
CNN,Sen. Joe Manchin: Devin Nunes has 'neutered' people's confidence in the House Intel Committee https://t.co/1xuw9skNdC,0.191,0.0,0.809,0.5106,2018-02-02 05:24:14+00:00
CNN,23 pieces of Super Bowl trivia that are actually fascinating (even if you don't care about the Super Bowl)… https://t.co/WTuRvYe4AT,0.378,0.088,0.535,0.8648,2018-02-02 05:31:09+00:00
nytimes,"RT @nytpolitics: As President Trump looks ahead to 2020, about 25 percent of his re-election campaign’s spending continues to go to law fir…",0.0,0.0,1.0,0.0,2018-02-02 05:48:05+00:00
CNN,Former first lady Michelle Obama relives the awkward Inauguration Day gift exchange during her first television int… https://t.co/1k0UMAZHEk,0.141,0.078,0.78,0.3182,2018-02-02 05:48:23+00:00
BBCWorld,French climber Elisabeth Revol describes 'Killer Mountain' rescue https://t.co/XIE2ZN893K,0.226,0.295,0.479,-0.25,2018-02-02 05:50:08+00:00
